qseqid	sseqid	qlen	slen	length	evalue	ppos	qstart	qend	sstart	send	sframe
AT1G07980.1	NW_003302555.1	206	33132539	141	1.23e-47	90.78	1	140	2959806	2959384	-3
AT1G07980.1	NW_003302555.1	206	33132539	31	3.48e-09	93.55	141	171	2958885	2958793	-3
AT1G07980.1	NW_003302555.1	206	33132539	25	2.34e-04	100.00	182	206	2958410	2958336	-1
AT1G07980.1	NW_003302555.1	206	33132539	23	2.34e-04	69.57	163	185	2958553	2958485	-2
AT1G07980.1	NW_003302548.1	206	22951293	78	4.31e-06	57.69	109	186	14016991	14016758	-3
AT1G07980.1	NW_003302548.1	206	22951293	78	5.59e-06	60.26	110	186	4615749	4615982	3
AT1G07980.1	NW_003302548.1	206	22951293	77	2.13e-04	54.55	109	185	14028258	14028028	-1
AT1G07980.1	NW_003302548.1	206	22951293	77	7.70e-04	51.95	109	185	14038455	14038225	-1
AT1G07980.1	NW_003302553.1	206	24464547	77	5.43e-04	53.25	109	185	19314012	19313782	-1
AT1G54830.1	NW_003302555.1	217	33132539	217	6.69e-109	98.62	1	217	31134156	31134806	3
AT1G54830.1	NW_003302555.1	217	33132539	219	1.88e-84	81.74	1	205	3409931	3410587	2
AT1G54830.1	NW_003302555.1	217	33132539	102	6.29e-54	95.10	52	153	29761056	29761361	3
AT1G54830.1	NW_003302551.1	217	21221946	102	1.07e-51	92.16	52	153	13893591	13893286	-1
AT1G54830.1	NW_003302548.1	217	22951293	97	2.06e-50	92.78	52	148	20967522	20967232	-1
AT1G54830.1	NW_003302548.1	217	22951293	100	6.52e-35	81.00	51	150	14017039	14016749	-3
AT1G54830.1	NW_003302548.1	217	22951293	100	2.61e-33	79.00	51	150	14028306	14028016	-1
AT1G54830.1	NW_003302548.1	217	22951293	155	4.04e-31	58.71	51	200	14038503	14038081	-1
AT1G54830.1	NW_003302548.1	217	22951293	99	2.35e-27	77.78	54	149	14013871	14013575	-3
AT1G54830.1	NW_003302548.1	217	22951293	78	4.32e-07	58.97	71	147	4615749	4615982	3
AT1G54830.1	NW_003302553.1	217	24464547	99	1.02e-28	74.75	51	149	19314060	19313773	-1
AT1G54830.1	NW_003302553.1	217	24464547	29	1.6	68.97	74	102	4997835	4997912	3
AT1G54830.1	NW_003302549.1	217	24649197	59	2.42e-12	72.88	89	147	24360333	24360509	3
AT1G54830.1	NW_003302549.1	217	24649197	61	3.09e-10	72.13	87	147	24404746	24404928	1
AT1G54830.1	NW_003302549.1	217	24649197	74	2.17e-05	55.41	71	144	24402742	24402521	-3
AT1G54830.1	NW_003302549.1	217	24649197	48	0.74	56.25	102	149	24396193	24396336	1
AT1G54830.1	NW_003302550.1	217	25113588	29	1.9	68.97	74	102	2700858	2700781	-1
AT1G54830.2	NW_003302555.1	217	33132539	217	6.69e-109	98.62	1	217	31134156	31134806	3
AT1G54830.2	NW_003302555.1	217	33132539	219	1.88e-84	81.74	1	205	3409931	3410587	2
AT1G54830.2	NW_003302555.1	217	33132539	102	6.29e-54	95.10	52	153	29761056	29761361	3
AT1G54830.2	NW_003302551.1	217	21221946	102	1.07e-51	92.16	52	153	13893591	13893286	-1
AT1G54830.2	NW_003302548.1	217	22951293	97	2.06e-50	92.78	52	148	20967522	20967232	-1
AT1G54830.2	NW_003302548.1	217	22951293	100	6.52e-35	81.00	51	150	14017039	14016749	-3
AT1G54830.2	NW_003302548.1	217	22951293	100	2.61e-33	79.00	51	150	14028306	14028016	-1
AT1G54830.2	NW_003302548.1	217	22951293	155	4.04e-31	58.71	51	200	14038503	14038081	-1
AT1G54830.2	NW_003302548.1	217	22951293	99	2.35e-27	77.78	54	149	14013871	14013575	-3
AT1G54830.2	NW_003302548.1	217	22951293	78	4.32e-07	58.97	71	147	4615749	4615982	3
AT1G54830.2	NW_003302553.1	217	24464547	99	1.02e-28	74.75	51	149	19314060	19313773	-1
AT1G54830.2	NW_003302553.1	217	24464547	29	1.6	68.97	74	102	4997835	4997912	3
AT1G54830.2	NW_003302549.1	217	24649197	59	2.42e-12	72.88	89	147	24360333	24360509	3
AT1G54830.2	NW_003302549.1	217	24649197	61	3.09e-10	72.13	87	147	24404746	24404928	1
AT1G54830.2	NW_003302549.1	217	24649197	74	2.17e-05	55.41	71	144	24402742	24402521	-3
AT1G54830.2	NW_003302549.1	217	24649197	48	0.74	56.25	102	149	24396193	24396336	1
AT1G54830.2	NW_003302550.1	217	25113588	29	1.9	68.97	74	102	2700858	2700781	-1
AT1G54830.3	NW_003302555.1	217	33132539	217	6.69e-109	98.62	1	217	31134156	31134806	3
AT1G54830.3	NW_003302555.1	217	33132539	219	1.88e-84	81.74	1	205	3409931	3410587	2
AT1G54830.3	NW_003302555.1	217	33132539	102	6.29e-54	95.10	52	153	29761056	29761361	3
AT1G54830.3	NW_003302551.1	217	21221946	102	1.07e-51	92.16	52	153	13893591	13893286	-1
AT1G54830.3	NW_003302548.1	217	22951293	97	2.06e-50	92.78	52	148	20967522	20967232	-1
AT1G54830.3	NW_003302548.1	217	22951293	100	6.52e-35	81.00	51	150	14017039	14016749	-3
AT1G54830.3	NW_003302548.1	217	22951293	100	2.61e-33	79.00	51	150	14028306	14028016	-1
AT1G54830.3	NW_003302548.1	217	22951293	155	4.04e-31	58.71	51	200	14038503	14038081	-1
AT1G54830.3	NW_003302548.1	217	22951293	99	2.35e-27	77.78	54	149	14013871	14013575	-3
AT1G54830.3	NW_003302548.1	217	22951293	78	4.32e-07	58.97	71	147	4615749	4615982	3
AT1G54830.3	NW_003302553.1	217	24464547	99	1.02e-28	74.75	51	149	19314060	19313773	-1
