qseqid	sseqid	qlen	slen	length	evalue	ppos	
AT1G07980.1	XM_002892381.1	206	243	242	5.99e-110	80.17
AT1G07980.1	XM_002865763.1	206	211	98	1.13e-11	59.18
AT1G07980.1	XM_002863631.1	206	132	78	8.97e-08	60.26
AT1G07980.1	XM_002877573.1	206	233	88	3.19e-07	59.09
AT1G07980.1	XM_002865764.1	206	202	78	4.50e-07	57.69
AT1G07980.1	XM_002873248.1	206	302	77	1.48e-06	54.55
AT1G07980.1	XM_002891832.1	206	199	84	2.77e-06	57.14
AT1G07980.1	XM_002891867.1	206	218	84	4.59e-06	57.14
AT1G07980.1	XM_002866511.1	206	250	78	4.94e-06	56.41
AT1G07980.1	XM_002889680.1	206	232	84	4.98e-06	57.14
AT1G07980.1	XM_002865766.1	206	175	80	6.66e-06	55.00
AT1G07980.1	XM_002882731.1	206	293	77	9.92e-06	53.25
AT1G07980.1	XM_002885886.1	206	114	77	1.46e-05	53.25
AT1G07980.1	XM_002865768.1	206	188	79	4.10e-05	51.90
AT1G07980.1	XM_002868678.1	206	143	80	0.001	47.50
AT1G07980.1	XM_002892429.1	206	143	80	0.002	47.50
AT1G07980.1	XM_002868759.1	206	249	46	0.007	60.87
AT1G07980.1	XM_002894553.1	206	210	80	0.015	47.50
AT1G07980.1	XM_002867472.1	206	132	80	0.024	45.00
AT1G07980.1	XM_002873904.1	206	233	52	0.028	51.92
AT1G07980.1	XM_002864303.1	206	131	80	0.029	45.00
AT1G07980.1	XM_002883218.1	206	133	79	0.032	46.84
AT1G07980.1	XM_002866310.1	206	150	80	0.045	43.75
AT1G07980.1	XM_002891567.1	206	133	80	0.059	43.75
AT1G07980.1	XM_002866309.1	206	150	80	0.062	43.75
AT1G07980.1	XM_002872216.1	206	148	80	0.100	43.75
AT1G07980.1	XM_002894192.1	206	721	64	0.25	54.69
AT1G07980.1	XM_002865498.1	206	702	65	0.36	53.85
AT1G07980.1	XM_002887232.1	206	180	44	0.56	59.09
AT1G07980.1	XM_002881151.1	206	1145	92	1.1	47.83
AT1G07980.1	XM_002884669.1	206	316	63	3.5	46.03
AT1G07980.1	XM_002879725.1	206	142	77	4.9	45.45
AT1G07980.1	XM_002879603.1	206	176	56	5.7	51.79
AT1G07980.1	XM_002890452.1	206	262	49	6.0	48.98
AT1G07980.1	XM_002878302.1	206	152	30	6.2	63.33
AT1G07980.1	XM_002874999.1	206	152	30	6.8	63.33
AT1G54830.1	XM_002891867.1	217	218	217	1.19e-162	98.62
AT1G54830.1	XM_002889680.1	217	232	219	1.81e-117	84.47
AT1G54830.1	XM_002877573.1	217	233	159	1.58e-69	77.36
AT1G54830.1	XM_002891832.1	217	199	122	2.57e-64	85.25
AT1G54830.1	XM_002866511.1	217	250	163	1.59e-59	72.39
AT1G54830.1	XM_002865766.1	217	175	182	8.88e-44	60.44
AT1G54830.1	XM_002865764.1	217	202	143	9.48e-44	67.83
AT1G54830.1	XM_002865768.1	217	188	166	1.54e-42	63.86
AT1G54830.1	XM_002885886.1	217	114	112	3.76e-36	73.21
AT1G54830.1	XM_002865763.1	217	211	157	4.56e-33	61.78
AT1G54830.1	XM_002868756.1	217	196	123	5.26e-25	63.41
AT1G54830.1	XM_002868759.1	217	249	147	2.86e-21	51.70
AT1G54830.1	XM_002882731.1	217	293	78	2.44e-12	62.82
AT1G54830.1	XM_002873248.1	217	302	78	7.30e-11	61.54
AT1G54830.1	XM_002863631.1	217	132	78	6.67e-09	58.97
AT1G54830.1	XM_002880873.1	217	254	79	0.016	55.70
AT1G54830.1	XM_002870822.1	217	150	31	0.071	64.52
AT1G54830.1	XM_002868678.1	217	143	76	0.074	42.11
AT1G54830.1	XM_002867472.1	217	132	77	0.12	44.16
AT1G54830.1	XM_002864303.1	217	131	77	0.17	44.16
AT1G54830.1	XM_002892429.1	217	143	76	0.21	42.11
AT1G54830.1	XM_002879603.1	217	176	73	0.27	46.58
AT1G54830.1	XM_002885835.1	217	214	74	0.36	45.95
AT1G54830.1	XM_002887641.1	217	881	51	0.42	41.18
AT1G54830.1	XM_002892381.1	217	243	53	0.44	60.38
AT1G54830.1	XM_002877867.1	217	178	73	0.84	46.58
AT1G54830.1	XM_002891567.1	217	133	77	0.96	42.86
AT1G54830.1	XM_002873904.1	217	233	56	1.1	53.57
AT1G54830.1	XM_002879725.1	217	142	73	1.2	46.58
AT1G54830.1	XM_002894553.1	217	210	63	1.2	44.44
AT1G54830.1	XM_002883218.1	217	133	63	2.0	42.86
AT1G54830.1	XM_002882087.1	217	152	75	3.7	45.33
AT1G54830.1	XM_002876425.1	217	686	39	6.2	46.15
AT1G54830.1	XM_002884893.1	217	476	21	7.7	61.90
AT1G54830.1	XM_002877417.1	217	390	23	9.4	56.52
AT1G54830.1	XM_002890112.1	217	403	57	9.4	47.37
AT1G54830.2	XM_002891867.1	217	218	217	1.19e-162	98.62
AT1G54830.2	XM_002889680.1	217	232	219	1.81e-117	84.47
AT1G54830.2	XM_002877573.1	217	233	159	1.58e-69	77.36
AT1G54830.2	XM_002891832.1	217	199	122	2.57e-64	85.25
AT1G54830.2	XM_002866511.1	217	250	163	1.59e-59	72.39
AT1G54830.2	XM_002865766.1	217	175	182	8.88e-44	60.44
AT1G54830.2	XM_002865764.1	217	202	143	9.48e-44	67.83
AT1G54830.2	XM_002865768.1	217	188	166	1.54e-42	63.86
AT1G54830.2	XM_002885886.1	217	114	112	3.76e-36	73.21
AT1G54830.2	XM_002865763.1	217	211	157	4.56e-33	61.78
AT1G54830.2	XM_002868756.1	217	196	123	5.26e-25	63.41
AT1G54830.2	XM_002868759.1	217	249	147	2.86e-21	51.70
AT1G54830.2	XM_002882731.1	217	293	78	2.44e-12	62.82
AT1G54830.2	XM_002873248.1	217	302	78	7.30e-11	61.54
AT1G54830.2	XM_002863631.1	217	132	78	6.67e-09	58.97
AT1G54830.2	XM_002880873.1	217	254	79	0.016	55.70
AT1G54830.2	XM_002870822.1	217	150	31	0.071	64.52
AT1G54830.2	XM_002868678.1	217	143	76	0.074	42.11
AT1G54830.2	XM_002867472.1	217	132	77	0.12	44.16
AT1G54830.2	XM_002864303.1	217	131	77	0.17	44.16
AT1G54830.2	XM_002892429.1	217	143	76	0.21	42.11
AT1G54830.2	XM_002879603.1	217	176	73	0.27	46.58
AT1G54830.2	XM_002885835.1	217	214	74	0.36	45.95
AT1G54830.2	XM_002887641.1	217	881	51	0.42	41.18
AT1G54830.2	XM_002892381.1	217	243	53	0.44	60.38
AT1G54830.2	XM_002877867.1	217	178	73	0.84	46.58
AT1G54830.2	XM_002891567.1	217	133	77	0.96	42.86
AT1G54830.2	XM_002873904.1	217	233	56	1.1	53.57
AT1G54830.2	XM_002879725.1	217	142	73	1.2	46.58
AT1G54830.2	XM_002894553.1	217	210	63	1.2	44.44
AT1G54830.2	XM_002883218.1	217	133	63	2.0	42.86
AT1G54830.2	XM_002882087.1	217	152	75	3.7	45.33
AT1G54830.2	XM_002876425.1	217	686	39	6.2	46.15
AT1G54830.2	XM_002884893.1	217	476	21	7.7	61.90
AT1G54830.2	XM_002877417.1	217	390	23	9.4	56.52
AT1G54830.2	XM_002890112.1	217	403	57	9.4	47.37
AT1G54830.3	XM_002891867.1	217	218	217	1.19e-162	98.62
AT1G54830.3	XM_002889680.1	217	232	219	1.81e-117	84.47
AT1G54830.3	XM_002877573.1	217	233	159	1.58e-69	77.36
AT1G54830.3	XM_002891832.1	217	199	122	2.57e-64	85.25
AT1G54830.3	XM_002866511.1	217	250	163	1.59e-59	72.39
AT1G54830.3	XM_002865766.1	217	175	182	8.88e-44	60.44
AT1G54830.3	XM_002865764.1	217	202	143	9.48e-44	67.83
AT1G54830.3	XM_002865768.1	217	188	166	1.54e-42	63.86
AT1G54830.3	XM_002885886.1	217	114	112	3.76e-36	73.21
AT1G54830.3	XM_002865763.1	217	211	157	4.56e-33	61.78
